,brandnm,goodsnm,USER,reg_date,order_date,p_type,sub_type,app_yn,4days,7days
144,Gucci,leather point cross bag,a1145830,2021-02-08,2021-02-08,4days,BA,N,46300,56300
145,Chanel,quilted enamel shoulder bag burgundy,a138391,2019-09-05,2021-02-07,7days,BA,Y,47330,57330
146,Prada,tweed texture chain bag,a1145528,2021-02-05,2021-02-07,7days,BA,Y,39000,49000
147,Coach,surrey carryall bag brown,a1143905,2021-01-20,2021-02-07,4days,BA,Y,33620,43620
148,Saint Laurent,chevron quilted cross bag green,a1145612,2021-02-06,2021-02-06,4days,BA,Y,45670,55670
149,Marni,trunk mini saffiano bag black,a183676,2020-02-19,2021-02-05,4days,BA,Y,37950,47950
150,Gucci,vintage web GG two way bag brown,a1145531,2021-02-05,2021-02-05,4days,BA,Y,46300,56300
151,Fendi,runaway regular bag,a1145187,2021-02-02,2021-02-04,7days,BA,Y,47820,57820
152,Fendi,monogram zucchino shoulder bag,a1145478,,2021-02-04,4days,BA,N,47820,57820
153,Saint Laurent,chevron quilted bag black,a1145479,2021-02-04,2021-02-04,4days,BA,N,45670,55670
154,thom browne,zipper clutch black,a1145467,2021-02-04,2021-02-04,4days,BA,N,39000,49000
155,Valentino,rockstud cross bag orange,a113690,2018-12-29,2021-02-04,4days,BA,Y,37640,47640
156,Gucci,flap cross bag grey,a1144947,2021-01-30,2021-02-04,4days,BA,Y,46300,56300
157,Gucci,logo pointed cross bag,a1145417,2021-02-04,2021-02-04,7days,BA,N,46300,56300
158,Louis Vuitton,damier eben tote bag,a1145137,2021-02-01,2021-02-04,7days,BA,Y,46580,56580
159,Prada,daino crossbody bag black 2,a1145353,2021-02-03,2021-02-04,4days,BA,Y,39000,49000
160,Prada,saffiano cross chain bag black,a1145165,2021-02-02,2021-02-04,7days,BA,Y,39000,49000
161,Dior,oblique canvas half moon bag,a1145130,2021-02-01,2021-02-04,4days,BA,Y,49000,59000
162,BYREDO,discover the stencil embellishment,a1145263,2021-02-02,2021-02-03,7days,BA,Y,39000,49000
163,Gucci,GG clutch chain bag,a1145046,2021-01-31,2021-02-03,7days,BA,Y,46300,56300
164,Prada,color strap shoulder bag navy,a1145279,2021-02-03,2021-02-03,4days,BA,Y,39000,49000
165,Prada,medium Nylon Backpack black,a1135783,2020-12-07,2021-02-03,4days,BA,Y,39000,49000
166,Gucci,dionysus cross bag black,a1144971,2021-01-30,2021-02-02,7days,BA,Y,46300,56300
167,Vivienne Westwood,nappa clasp chain bag,a1144940,2021-01-30,2021-02-02,7days,BA,Y,34000,44000
168,Christian Dior,classic two way bag pink,a1143720,2021-01-18,2021-02-02,7days,BA,Y,45670,55670
169,Burberry,vintage check and leather cross bag black,a1144705,2021-01-27,2021-02-02,7days,BA,Y,36120,46120
170,Louis Vuitton,monogram shoulder bag black,a1143575,2021-01-17,2021-02-02,7days,BA,Y,46580,56580
171,Prada,small logo bucket bag black,a1145039,2021-01-31,2021-02-02,7days,BA,Y,39000,49000
172,Gucci,mamont chain bag red,a1140427,2020-12-29,2021-02-02,7days,BA,Y,46300,56300
173,Gucci,lettering point two way bag brown,a143043,2019-09-26,2021-02-02,4days,BA,Y,46300,56300
174,Bulgari,serpenti bag green,a159684,2019-11-29,2021-02-02,7days,BA,Y,37330,47330
175,Gucci,quilted GG marmont clutch bag,a1145156,2021-02-01,2021-02-01,7days,BA,Y,46300,56300
176,Gucci,padlock GG canvas chain bag 2,a1145123,2021-02-01,2021-02-01,4days,BA,Y,46300,56300
177,Saint Laurent,quilted calfskin shoulder bag,a1144954,2021-01-30,2021-02-01,4days,BA,Y,45670,55670
178,Chloe,faye small bag black,a1144998,2021-01-31,2021-02-01,4days,BA,N,35150,45150
179,Chloe,round handle tote bag black,a117466,2019-03-06,2021-03-31,4days,BA,Y,35150,45150
180,Saint Laurent,sac de jour tote pink,a1151046,2021-03-27,2021-03-31,7days,BA,Y,45670,55670
181,Louis Vuitton,Mogram neonoe bucket brown bag,a174354,2020-01-16,2021-03-31,4days,BA,Y,46580,56580
182,Fendi,stripe pattern two way bucket bag brown,a1151466,2021-03-31,2021-03-31,7days,BA,Y,47820,57820
183,A.P.C.,half round chain bag black,a129477,2019-06-13,2021-03-31,4days,BA,Y,32460,42460
184,Yves Saint Laurent,chevron pattern chain bag beige,a1100548,2020-05-16,2021-03-31,4days,BA,Y,46500,56500
185,Dolce & Gabbana,classic two way bag beige,a1151332,2021-03-29,2021-03-30,7days,BA,Y,37330,47330
186,Fendi,diabolic eyes clutch bag,a1110169,2020-08-02,2021-03-30,4days,BA,Y,47820,57820
187,Saint Laurent,leather tassel cross body bag gray,a1151413,2021-03-30,2021-03-30,4days,BA,Y,45670,55670
188,Givenchy,antigona S black 2,a1151117,2021-03-28,2021-03-30,7days,BA,Y,35730,45730
189,Louis Vuitton,Pochette trunk vertical black bag,a1151051,2021-03-27,2021-03-30,4days,BA,Y,46580,56580
190,Louis Vuitton,monogram milla pochette MM,a1151153,2021-03-28,2021-03-30,4days,BA,Y,46580,56580
191,Gucci,sylvie leather mini chain bag red,a144279,2019-09-30,2021-03-29,7days,BA,Y,46300,56300
192,Gucci,vintage web cross bag brown,a1151303,2021-03-29,2021-03-29,7days,BA,N,46300,56300
193,Balenciaga,ville logo bag green,a1150992,2021-03-27,2021-03-29,4days,BA,Y,39000,49000
194,Gucci,microssima emily mini bag black,a1151297,2021-03-29,2021-03-29,4days,BA,Y,46300,56300
195,Gucci,GG pattern boston bag beige,a1144107,2021-01-22,2021-03-28,4days,BA,Y,46300,56300
196,Chloe,daria tote bag brown,a187913,2020-03-11,2021-03-28,7days,BA,Y,35150,45150
197,Gucci,flap cross bag grey,a1120886,2020-09-22,2021-03-28,7days,BA,Y,46300,56300
198,Gucci,mamont chain bag black,a1147267,2021-02-23,2021-03-28,7days,BA,Y,46300,56300
199,Burberry,python cross body bag black,a1150957,2021-03-26,2021-03-26,7days,BA,Y,36120,46120
200,Christian Dior,oblique jacquard shoulder bag,a1150537,2021-03-23,2021-03-26,4days,BA,N,45670,55670
201,Gucci,flower dionysus shoulder bag beige,a156236,2019-11-15,2021-03-26,4days,BA,Y,46300,56300
202,Yves Saint Laurent,belle de jour clutch red,a1143869,2021-01-20,2021-03-25,4days,BA,Y,46500,56500
203,Gucci,dionysos velvet chain shoulder bag navy,a1150835,2021-03-25,2021-03-25,7days,BA,Y,46300,56300
204,Celine,luggage nano bag deep dark brown,a1150825,2021-03-25,2021-03-25,4days,BA,N,45500,55500
205,Gucci,logo pointed cross bag,a1150816,2021-03-25,2021-03-25,4days,BA,Y,46300,56300
206,Prada,medium Nylon Backpack red,a1150796,2021-03-25,2021-03-25,7days,BA,Y,39000,49000
207,Christian Dior,bobby bag black,a195023,2020-04-09,2021-03-25,7days,BA,Y,45670,55670
208,Bottega Veneta,intrecciato clutch bag black,a1150769,2021-03-25,2021-03-25,7days,BA,N,38170,48170
209,Louis Vuitton,vanity bag brown,a1112556,2020-08-16,2021-03-25,7days,BA,Y,46580,56580
210,Rebecca Minkoff,quilted studs crossbody bag,a1150279,2021-03-21,2021-03-24,7days,BA,Y,33420,43420
211,Louis Vuitton,monogram shoulder bag black,a1150668,2021-03-24,2021-03-24,7days,BA,Y,46580,56580
212,Saint Laurent,sac de jour tote pink,a1149893,2021-03-18,2021-03-24,4days,BA,Y,45670,55670
213,Yves Saint Laurent,chevron pattern chain bag beige,a1150662,2021-03-24,2021-03-24,4days,BA,Y,46500,56500
214,Balenciaga,motor city giant yellow,a1150599,2021-03-24,2021-03-24,4days,BA,Y,39000,49000
215,Gucci,padlock GG canvas chain bag 2,a122247,2019-05-08,2021-03-24,4days,BA,Y,46300,56300
216,Prada,new vit daino shopper bag black,a1145089,2021-02-01,2021-03-24,7days,BA,Y,39000,49000
217,Gucci,monogram mammont chain bag black,a189801,2020-03-23,2021-03-24,4days,BA,Y,46300,56300
218,Celine,medium c quilted bag,a1150553,2021-03-23,2021-03-23,7days,BA,Y,45500,55500
219,Hermes,fabric fourre tout MM tote bag brown,a1150264,2021-03-21,2021-03-23,7days,BA,N,39000,49000
220,Celine,classic box black,a1150377,2021-03-22,2021-03-23,4days,BA,Y,45500,55500
221,Yves Saint Laurent,Y clutch black,a1150483,2021-03-23,2021-03-23,4days,BA,N,46500,56500
222,Tory Burch,leather flaming convertible mini gold chain tassle crossback black,a189377,2020-03-20,2021-03-23,7days,BA,Y,33620,43620
223,Gucci,vintage web bucket bag brown,a1150428,2021-03-22,2021-03-23,4days,BA,N,46300,56300
224,Louis Vuitton,Mogram neonoe bucket brown bag,a1119556,2020-09-14,2021-03-22,4days,BA,Y,46580,56580
225,Gucci,wood handle dionysus bag,a1150283,2021-03-21,2021-03-22,7days,BA,Y,46300,56300
226,Fendi,2jours bag navy,a1149926,2021-03-18,2021-03-21,7days,BA,Y,47820,57820
227,Marni,logo point clutch bag black,a1149972,2021-03-19,2021-03-21,7days,BA,Y,37950,47950
