,brandnm,goodsnm,USER,reg_date,order_date,p_type,sub_type,app_yn,4days,7days
345,Saint Laurent,chevron quilted cross bag black,a1141925,2021-01-09,2021-01-12,4days,BA,Y,45670,55670
346,Saint Laurent,chevron quilted cross bag black,a1144784,2021-01-28,2021-01-29,7days,BA,Y,45670,55670
347,Saint Laurent,chevron quilted cross bag black,a1144656,2021-01-27,2021-01-27,7days,BA,Y,45670,55670
348,Saint Laurent,chevron quilted cross bag black,a146902,2019-10-13,2021-01-20,4days,BA,Y,45670,55670
349,Saint Laurent,chevron quilted cross bag black,a1136719,2020-12-12,2021-01-19,4days,BA,Y,45670,55670
350,Saint Laurent,chevron quilted cross bag black,a1142742,2021-01-13,2021-01-18,7days,BA,Y,45670,55670
351,Saint Laurent,chevron quilted cross bag black,a1147498,2021-02-25,2021-02-26,4days,BA,Y,45670,55670
352,Saint Laurent,chevron quilted cross bag black,a1147518,2021-02-25,2021-02-25,4days,BA,Y,45670,55670
353,Saint Laurent,chevron quilted cross bag black,a1147032,2021-02-21,2021-02-23,4days,BA,Y,45670,55670
354,Saint Laurent,chevron quilted cross bag black,a1146859,2021-02-18,2021-02-18,4days,BA,Y,45670,55670
355,Saint Laurent,chevron quilted cross bag black,a1146672,2021-02-17,2021-02-17,4days,BA,Y,45670,55670
356,Saint Laurent,chevron quilted cross bag black,a1145337,2021-02-03,2021-02-04,4days,BA,N,45670,55670
357,Saint Laurent,chevron quilted cross bag black,a1145206,2021-02-02,2021-02-02,4days,BA,Y,45670,55670
358,Saint Laurent,chevron quilted cross bag black,a125904,2019-05-24,2021-03-31,4days,BA,Y,45670,55670
359,Saint Laurent,chevron quilted cross bag black,a1151152,2021-03-28,2021-03-28,7days,BA,Y,45670,55670
360,Saint Laurent,chevron quilted cross bag black,a193947,2020-04-05,2021-03-24,4days,BA,Y,45670,55670
361,Saint Laurent,chevron quilted cross bag black,a1150470,2021-03-23,2021-03-23,7days,BA,Y,45670,55670
362,Saint Laurent,chevron quilted cross bag black,a1150365,2021-03-22,2021-03-22,4days,BA,Y,45670,55670
363,Saint Laurent,chevron quilted cross bag black,a1149569,2021-03-16,2021-03-17,7days,BA,Y,45670,55670
364,Saint Laurent,chevron quilted cross bag black,a1135400,2020-12-05,2021-03-09,4days,BA,Y,45670,55670
365,Saint Laurent,chevron quilted cross bag black,a1148129,2021-03-03,2021-03-06,7days,BA,N,45670,55670
366,Saint Laurent,chevron quilted cross bag black,a1148220,2021-03-04,2021-03-04,7days,BA,Y,45670,55670
367,Saint Laurent,mini sunset chain bag black,a1142471,2021-01-12,2021-01-12,7days,BA,Y,45670,55670
368,Saint Laurent,mini sunset chain bag black,a1129195,2020-11-07,2021-01-20,4days,BA,Y,45670,55670
369,Saint Laurent,mini sunset chain bag black,a1140645,2020-12-31,2021-01-19,7days,BA,Y,45670,55670
370,Saint Laurent,mini sunset chain bag black,a1147543,2021-02-25,2021-02-25,4days,BA,N,45670,55670
371,Saint Laurent,mini sunset chain bag black,a1146856,2021-02-18,2021-02-18,7days,BA,Y,45670,55670
372,Saint Laurent,mini sunset chain bag black,a1145011,2021-01-31,2021-02-01,7days,BA,Y,45670,55670
373,Saint Laurent,mini sunset chain bag black,a1151078,2021-03-27,2021-03-29,7days,BA,Y,45670,55670
374,Saint Laurent,mini sunset chain bag black,a1148855,2021-03-10,2021-03-11,7days,BA,Y,45670,55670
375,Gucci,quilted GG momont cross bag black,a1142263,2021-01-11,2021-01-11,7days,BA,Y,46300,56300
376,Yves Saint Laurent,collège medium cross bag,a189110,2020-03-19,2021-01-11,4days,BA,Y,46500,56500
377,Yves Saint Laurent,collège medium cross bag,a1122447,2020-10-04,2021-02-18,7days,BA,Y,46500,56500
378,Yves Saint Laurent,collège medium cross bag,a1145238,2021-02-02,2021-02-03,7days,BA,Y,46500,56500
379,Gucci,microssima emily mini bag cream,a1138765,2020-12-20,2021-01-11,7days,BA,Y,46300,56300
380,Gucci,microssima emily mini bag cream,a1146393,2021-02-14,2021-02-15,4days,BA,Y,46300,56300
381,Gucci,microssima emily mini bag cream,a1150099,2021-03-20,2021-03-20,7days,BA,Y,46300,56300
382,Louis Vuitton,alma epi pm tote bag black,a1141816,2021-01-09,2021-01-09,7days,BA,Y,46580,56580
383,Louis Vuitton,alma epi pm tote bag black,a178166,2020-01-29,2021-01-21,7days,BA,Y,46580,56580
384,Louis Vuitton,alma epi pm tote bag black,a1144425,2021-01-25,2021-02-09,4days,BA,Y,46580,56580
385,Louis Vuitton,alma epi pm tote bag black,a1149760,2021-03-17,2021-03-18,7days,BA,Y,46580,56580
386,Louis Vuitton,alma epi pm tote bag black,a1149746,2021-03-17,2021-03-17,4days,BA,Y,46580,56580
387,Gucci,ophidia small black,a1141468,2021-01-07,2021-01-08,4days,BA,Y,46300,56300
388,Gucci,ophidia small black,a1139870,2020-12-25,2021-01-18,4days,BA,Y,46300,56300
389,Louis Vuitton,monogram clutch brown,a1141530,2021-01-07,2021-01-07,7days,BA,Y,46580,56580
390,Louis Vuitton,monogram clutch brown,a1138863,2020-12-21,2021-01-18,7days,BA,Y,46580,56580
391,Louis Vuitton,monogram clutch brown,a1147385,2021-02-24,2021-02-24,7days,BA,Y,46580,56580
392,Louis Vuitton,monogram clutch brown,a1150091,2021-03-20,2021-03-25,4days,BA,Y,46580,56580
393,Louis Vuitton,monogram clutch brown,a1150711,2021-03-24,2021-03-24,7days,BA,Y,46580,56580
394,Louis Vuitton,monogram clutch brown,a1118030,2020-09-05,2021-03-20,4days,BA,Y,46580,56580
395,Louis Vuitton,monogram clutch brown,a1148708,2021-03-09,2021-03-09,4days,BA,Y,46580,56580
396,Gucci,GG pattern cross body bag beige,a1138438,2020-12-20,2021-01-07,7days,BA,Y,46300,56300
397,Gucci,GG pattern cross body bag beige,a1151175,2021-03-28,2021-03-28,7days,BA,N,46300,56300
398,Gucci,GG pattern cross body bag beige,a1148946,2021-03-11,2021-03-11,7days,BA,Y,46300,56300
399,Gucci,marmont GG velvet bag purple,a1141394,2021-01-06,2021-01-07,7days,BA,Y,46300,56300
400,Gucci,marmont GG velvet bag purple,a1150107,2021-03-20,2021-03-20,7days,BA,Y,46300,56300
401,Chanel,classic chain shoulder bag black,a1141379,2021-01-06,2021-01-06,7days,BA,Y,47330,57330
402,Salvatore Ferragamo,classic chain shoulder bag black,a1141007,2021-01-04,2021-01-06,4days,BA,Y,39000,49000
403,Gucci,mammont chain wallet bag black,a1138028,2020-12-19,2021-01-06,7days,BA,Y,46300,56300
404,Gucci,mammont chain wallet bag black,a1140550,2020-12-30,2021-01-19,4days,BA,Y,46300,56300
405,Gucci,mammont chain wallet bag black,a1147046,2021-02-21,2021-02-21,7days,BA,Y,46300,56300
406,Gucci,mammont chain wallet bag black,a1144976,2021-01-30,2021-02-04,4days,BA,Y,46300,56300
407,Gucci,mammont chain wallet bag black,a1151023,2021-03-27,2021-03-29,7days,BA,N,46300,56300
408,Gucci,mammont chain wallet bag black,a1149163,2021-03-13,2021-03-15,7days,BA,Y,46300,56300
409,Christian Dior,silver detailed cross bag black,a120417,2019-04-25,2021-01-04,7days,BA,Y,45670,55670
410,Christian Dior,silver detailed cross bag black,a1111676,2020-08-14,2021-01-26,4days,BA,Y,45670,55670
411,Christian Dior,silver detailed cross bag black,a1148938,2021-03-11,2021-03-11,7days,BA,Y,45670,55670
412,Gucci,marmont gg logo quilted bag Black 2,a1145022,2021-01-31,2021-01-31,7days,BA,Y,46300,56300
413,Gucci,marmont gg logo quilted bag Black 2,a149897,2019-10-22,2021-01-20,7days,BA,Y,46300,56300
414,Gucci,marmont gg logo quilted bag Black 2,a177034,2020-01-23,2021-03-01,4days,BA,Y,46300,56300
415,Gucci,mammont tote red,a1144833,2021-01-28,2021-01-31,4days,BA,Y,46300,56300
416,Louis Vuitton,logo chain tote bag black,a1144704,2021-01-27,2021-01-30,4days,BA,Y,46580,56580
417,Louis Vuitton,logo chain tote bag black,a1143948,2021-01-21,2021-01-21,4days,BA,Y,46580,56580
418,Louis Vuitton,logo chain tote bag black,a1146489,2021-02-15,2021-02-16,4days,BA,N,46580,56580
419,Louis Vuitton,logo chain tote bag black,a1148909,2021-03-10,2021-03-12,7days,BA,N,46580,56580
420,Saint Laurent,chevron quilting cross bag cream,a1144837,2021-01-28,2021-01-29,4days,BA,Y,45670,55670
421,Saint Laurent,chevron quilting cross bag cream,a1147388,2021-02-24,2021-02-24,7days,BA,Y,45670,55670
422,Saint Laurent,chevron quilting cross bag cream,a1145230,2021-02-02,2021-02-04,4days,BA,N,45670,55670
423,Saint Laurent,chevron quilting cross bag cream,a1148824,2021-03-10,2021-03-12,7days,BA,Y,45670,55670
424,Louis Vuitton,monogram eva clutch,a1144848,2021-01-29,2021-01-29,4days,BA,Y,46580,56580
425,Louis Vuitton,monogram eva clutch,a1146942,2021-02-19,2021-02-19,4days,BA,Y,46580,56580
426,Louis Vuitton,monogram eva clutch,a1141254,2021-01-05,2021-02-02,4days,BA,Y,46580,56580
427,Louis Vuitton,monogram eva clutch,a1148078,2021-03-03,2021-03-09,7days,BA,N,46580,56580
428,Louis Vuitton,monogram canvas clutch bag,a1140387,2020-12-29,2021-01-28,7days,BA,Y,46580,56580
429,Louis Vuitton,monogram canvas clutch bag,a13741,2018-03-20,2021-03-31,4days,BA,Y,46580,56580
430,Fendi,by the way small black,a1144653,2021-01-27,2021-01-28,4days,BA,Y,47820,57820
431,Chanel,zipper detail bucket tote bag,a1144766,2021-01-28,2021-01-28,4days,BA,Y,47330,57330
432,Chanel,zipper detail bucket tote bag,a1146535,2021-02-16,2021-02-16,4days,BA,Y,47330,57330
433,Chanel,zipper detail bucket tote bag,a1102098,2020-05-29,2021-02-04,4days,BA,Y,47330,57330
434,Gucci,jackie 1961 hobo bag ivory,a1144749,2021-01-28,2021-01-28,4days,BA,Y,46300,56300
435,Gucci,jackie 1961 hobo bag ivory,a1150439,2021-03-23,2021-03-23,7days,BA,Y,46300,56300
436,Gucci,jackie 1961 hobo bag ivory,a196908,2020-04-18,2021-03-09,7days,BA,Y,46300,56300
437,Chanel,quilted boy chain bag black,a1144306,2021-01-24,2021-01-27,7days,BA,Y,47330,57330
438,Chanel,mini round cross bag pink,a1126559,2020-10-25,2021-01-27,4days,BA,Y,47330,57330
439,Saint Laurent,cabas monogramtote bag black,a1144628,2021-01-27,2021-01-27,4days,BA,Y,45670,55670
440,Saint Laurent,cabas monogramtote bag black,a1149739,2021-03-17,2021-03-20,7days,BA,Y,45670,55670
441,Gucci,logo pointed cross bag black,a1144283,2021-01-24,2021-01-27,4days,BA,Y,46300,56300
442,Gucci,logo pointed cross bag black,a1146955,2021-02-20,2021-02-23,7days,BA,Y,46300,56300
443,Gucci,logo pointed cross bag black,a1117995,2020-09-05,2021-03-31,4days,BA,Y,46300,56300
444,Gucci,logo pointed cross bag black,a1149652,2021-03-16,2021-03-16,7days,BA,Y,46300,56300
445,Gucci,logo pointed cross bag black,a1148205,2021-03-04,2021-03-04,4days,BA,Y,46300,56300
446,Chanel,small logo quilted cross body bag black,a186156,2020-03-03,2021-01-27,7days,BA,Y,47330,57330
447,Chanel,small logo quilted cross body bag black,a1147619,2021-02-26,2021-02-26,7days,BA,Y,47330,57330
448,Chanel,small logo quilted cross body bag black,a1146399,2021-02-14,2021-02-16,7days,BA,Y,47330,57330
449,Chanel,small logo quilted cross body bag black,a1151058,2021-03-27,2021-03-28,7days,BA,Y,47330,57330
450,Saint Laurent,monogram chain wallet bag black,a1127427,2020-10-28,2021-01-27,7days,BA,Y,45670,55670
451,Saint Laurent,monogram chain wallet bag black,a1137370,2020-12-16,2021-02-23,4days,BA,Y,45670,55670
452,Saint Laurent,monogram chain wallet bag black,a1146283,2021-02-13,2021-02-14,4days,BA,N,45670,55670
453,Gucci,mamont bucket bag ivory,a1144564,2021-01-26,2021-01-26,4days,BA,Y,46300,56300
454,Gucci,mamont bucket bag ivory,a1129571,2020-11-09,2021-03-17,4days,BA,Y,46300,56300
455,Gucci,mamont bucket bag ivory,a1148057,2021-03-02,2021-03-04,7days,BA,Y,46300,56300
456,Gucci,mamont chain mini cross bag black,a1144520,2021-01-26,2021-01-26,4days,BA,Y,46300,56300
457,Gucci,mamont chain mini cross bag black,a1134951,2020-12-03,2021-02-22,4days,BA,Y,46300,56300
458,Gucci,mamont chain mini cross bag black,a189598,2020-03-22,2021-02-05,7days,BA,Y,46300,56300
459,Gucci,mamont chain mini cross bag black,a1149434,2021-03-15,2021-03-15,7days,BA,Y,46300,56300
460,Gucci,mamont chain mini cross bag black,a1148189,2021-03-04,2021-03-04,4days,BA,Y,46300,56300
461,Saint Laurent,quilted shoulder bag black,a19187,2018-10-01,2021-01-26,7days,BA,Y,45670,55670
462,Chanel,quilted shoulder bag black,a1147781,2021-02-28,2021-02-28,7days,BA,Y,47330,57330
463,Chanel,quilted shoulder bag black,a1145327,2021-02-03,2021-02-03,4days,BA,Y,47330,57330
464,Chanel,quilted shoulder bag black,a1151163,2021-03-28,2021-03-29,7days,BA,Y,47330,57330
465,Saint Laurent,quilted shoulder bag black,a1150730,2021-03-24,2021-03-24,7days,BA,Y,45670,55670
466,Saint Laurent,quilted shoulder bag black,a1149582,2021-03-16,2021-03-16,4days,BA,Y,45670,55670
467,Chanel,quilted shoulder bag black,a1149324,2021-03-14,2021-03-14,7days,BA,Y,47330,57330
468,Celine,trapeze tote bag black,a1142968,2021-01-14,2021-01-25,4days,BA,Y,45500,55500
469,Yves Saint Laurent,chevron quilting cross bag black,a110269,2018-10-19,2021-01-25,7days,BA,Y,46500,56500
470,Yves Saint Laurent,chevron quilting cross bag black,a1146710,2021-02-17,2021-02-19,7days,BA,Y,46500,56500
471,Yves Saint Laurent,chevron quilting cross bag black,a1145218,2021-02-02,2021-02-05,7days,BA,Y,46500,56500
472,Yves Saint Laurent,chevron quilting cross bag black,a1151433,2021-03-30,2021-03-30,4days,BA,N,46500,56500
473,Yves Saint Laurent,kate small monogram bag beige,a1134516,2020-12-01,2021-01-24,7days,BA,Y,46500,56500
474,Yves Saint Laurent,kate small monogram bag beige,a1147812,2021-02-28,2021-02-28,7days,BA,Y,46500,56500
475,Yves Saint Laurent,kate small monogram bag beige,a1145459,2021-02-04,2021-02-06,4days,BA,Y,46500,56500
476,Yves Saint Laurent,kate small monogram bag beige,a1142920,2021-01-14,2021-03-26,7days,BA,Y,46500,56500
477,Gucci,vintage web GG backpack,a1144267,2021-01-24,2021-01-24,7days,BA,Y,46300,56300
478,Gucci,vintage web GG backpack,a1149774,2021-03-17,2021-03-18,4days,BA,Y,46300,56300
479,Saint Laurent,chevron clutch black,a1144042,2021-01-22,2021-01-22,7days,BA,Y,45670,55670
480,Saint Laurent,chevron clutch black,a1135815,2020-12-08,2021-01-20,7days,BA,Y,45670,55670
481,Saint Laurent,chevron clutch black,a1147522,2021-02-25,2021-02-25,4days,BA,Y,45670,55670
482,Saint Laurent,chevron clutch black,a1106884,2020-07-01,2021-02-24,4days,BA,Y,45670,55670
483,Delvaux,brillant GM satchel bag,a111461,2018-11-14,2021-01-21,4days,BA,Y,52330,62330
484,Delvaux,brillant GM satchel bag,a154665,2019-11-08,2021-02-19,4days,BA,Y,52330,62330
485,Delvaux,brillant GM satchel bag,a1150699,2021-03-24,2021-03-25,7days,BA,Y,52330,62330
486,Delvaux,brillant GM satchel bag,a1147276,2021-02-23,2021-03-04,7days,BA,Y,52330,62330
487,Balenciaga,ville logo bag white,a172349,2020-01-10,2021-01-21,4days,BA,Y,39000,49000
488,Saint Laurent,monogram mini universal bag black,a1143715,2021-01-18,2021-01-21,4days,BA,N,45670,55670
489,Saint Laurent,monogram mini universal bag black,a1150675,2021-03-24,2021-03-26,7days,BA,Y,45670,55670
490,Saint Laurent,monogram mini universal bag black,a1148747,2021-03-09,2021-03-09,7days,BA,Y,45670,55670
491,Gucci,marmont GG logo quilted bag black,a1142902,2021-01-14,2021-01-20,4days,BA,Y,46300,56300
492,Gucci,marmont GG logo quilted bag black,a1144738,2021-01-28,2021-02-25,7days,BA,Y,46300,56300
493,Gucci,marmont GG logo quilted bag black,a1146707,2021-02-17,2021-02-20,7days,BA,Y,46300,56300
494,Gucci,marmont GG logo quilted bag black,a1145346,2021-02-03,2021-02-04,7days,BA,N,46300,56300
495,Gucci,marmont GG logo quilted bag black,a142390,2019-09-24,2021-03-19,4days,BA,Y,46300,56300
496,Louis Vuitton,boite chapeau souple cross bag,a185643,2020-03-01,2021-01-20,7days,BA,Y,46580,56580
497,Louis Vuitton,boite chapeau souple cross bag,a1146573,2021-02-16,2021-02-16,7days,BA,Y,46580,56580
498,Gucci,vintage web round cross bag black,a1138582,2020-12-20,2021-01-20,4days,BA,Y,46300,56300
499,Gucci,vintage web round cross bag black,a1146694,2021-02-17,2021-02-17,4days,BA,Y,46300,56300
500,Gucci,vintage web round cross bag black,a1145249,2021-02-02,2021-02-02,4days,BA,Y,46300,56300
501,Gucci,dionysus cross bag beige,a1143698,2021-01-18,2021-01-20,4days,BA,Y,46300,56300
502,Gucci,dionysus cross bag beige,a1146823,2021-02-18,2021-02-18,4days,BA,N,46300,56300
503,Gucci,dionysus cross bag beige,a1145559,2021-02-05,2021-02-05,4days,BA,Y,46300,56300
504,Gucci,dionysus cross bag beige,a1149614,2021-03-16,2021-03-16,7days,BA,Y,46300,56300
505,Gucci,dionysus cross bag beige,a1149124,2021-03-12,2021-03-15,7days,BA,Y,46300,56300
506,Gucci,dionysus cross bag beige,a1147807,2021-02-28,2021-03-03,4days,BA,Y,46300,56300
507,Gucci,dionysus cross bag beige,a1147729,2021-02-27,2021-03-02,4days,BA,Y,46300,56300
508,Gucci,dionysus shoulder bag beige,a1140850,2021-01-02,2021-01-20,7days,BA,Y,46300,56300
509,Gucci,dionysus shoulder bag beige,a1147450,2021-02-24,2021-02-25,4days,BA,Y,46300,56300
510,Gucci,dionysus shoulder bag beige,a1145471,2021-02-04,2021-02-05,7days,BA,Y,46300,56300
511,Gucci,dionysus shoulder bag beige,a1117773,2020-09-03,2021-02-03,4days,BA,N,46300,56300
512,Gucci,dionysus shoulder bag beige,a1148379,2021-03-06,2021-03-19,4days,BA,Y,46300,56300
513,Gucci,dionysus shoulder bag beige,a1149916,2021-03-18,2021-03-18,7days,BA,Y,46300,56300
514,Gucci,dionysus shoulder bag beige,a1148848,2021-03-10,2021-03-10,4days,BA,Y,46300,56300
515,Gucci,dionysus shoulder bag beige,a1106424,2020-06-28,2021-03-02,4days,BA,Y,46300,56300
516,Chanel,classic logo chain shoulder bag white,a186888,2020-03-07,2021-01-19,4days,BA,Y,47330,57330
517,Chanel,classic logo chain shoulder bag white,a1144400,2021-01-25,2021-02-23,4days,BA,Y,47330,57330
518,Chanel,classic logo chain shoulder bag white,a1110831,2020-08-09,2021-02-03,4days,BA,Y,47330,57330
519,Chanel,classic logo chain shoulder bag white,a1149168,2021-03-13,2021-03-13,7days,BA,Y,47330,57330
520,Gucci,super mini sylvie white,a1140407,2020-12-29,2021-01-19,7days,BA,Y,46300,56300
521,Gucci,super mini sylvie white,a1120046,2020-09-17,2021-03-13,4days,BA,Y,46300,56300
522,Gucci,super mini sylvie white,a1144433,2021-01-25,2021-03-02,7days,BA,Y,46300,56300
523,Gucci,sylvie mini chain ribbon bag red,a1133939,2020-11-28,2021-01-18,4days,BA,Y,46300,56300
524,Gucci,sylvie mini chain ribbon bag red,a1146180,2021-02-12,2021-02-15,7days,BA,Y,46300,56300
525,Gucci,sylvie mini chain ribbon bag red,a1147961,2021-03-01,2021-03-01,4days,BA,Y,46300,56300
526,Prada,quilted chain shoulder bag black,a152462,2019-10-30,2021-01-18,4days,BA,Y,39000,49000
527,Chanel,quilted chain shoulder bag black,a195790,2020-04-13,2021-02-24,4days,BA,Y,47330,57330
528,Gucci,sylvie leather mini chain bag black,a1138389,2020-12-19,2021-01-17,7days,BA,Y,46300,56300
529,Gucci,sylvie leather mini chain bag black,a1144928,2021-01-30,2021-02-24,7days,BA,Y,46300,56300
530,Gucci,sylvie leather mini chain bag black,a1145175,2021-02-02,2021-02-03,7days,BA,Y,46300,56300
531,Gucci,sylvie leather mini chain bag black,a1100887,2020-05-19,2021-03-29,7days,BA,Y,46300,56300
532,Gucci,sylvie leather mini chain bag black,a192423,2020-04-01,2021-03-08,7days,BA,Y,46300,56300
533,Louis Vuitton,epi tote bag black,a131784,2019-06-26,2021-02-27,7days,BA,Y,46580,56580
534,Louis Vuitton,epi tote bag black,a1147266,2021-02-23,2021-02-26,7days,BA,Y,46580,56580
535,Louis Vuitton,epi tote bag black,a1146244,2021-02-13,2021-02-15,7days,BA,Y,46580,56580
536,Louis Vuitton,epi tote bag black,a1146147,2021-02-12,2021-02-12,7days,BA,N,46580,56580
537,Louis Vuitton,epi tote bag black,a1150823,2021-03-25,2021-03-25,7days,BA,N,46580,56580
538,Louis Vuitton,epi tote bag black,a1149182,2021-03-13,2021-03-23,7days,BA,Y,46580,56580
539,Louis Vuitton,epi tote bag black,a1149203,2021-03-13,2021-03-13,7days,BA,Y,46580,56580
540,Louis Vuitton,epi tote bag black,a1149023,2021-03-11,2021-03-11,4days,BA,Y,46580,56580
541,Chanel,boy flab bag,a178999,2020-02-01,2021-02-26,7days,BA,Y,47330,57330
542,Chanel,boy flab bag,a1148876,2021-03-10,2021-03-10,7days,BA,Y,47330,57330
543,Gucci,monogram strap cross bag brown,a1147383,2021-02-24,2021-02-26,7days,BA,Y,46300,56300
544,Gucci,monogram strap cross bag brown,a1150376,2021-03-22,2021-03-25,7days,BA,Y,46300,56300
545,Gucci,microssima emily shoulder bag black,a1147335,2021-02-23,2021-02-25,7days,BA,Y,46300,56300
546,Gucci,microssima emily shoulder bag black,a1150589,2021-03-23,2021-03-24,4days,BA,Y,46300,56300
547,Chanel,boy caviar quilted cluth black,a1147512,2021-02-25,2021-02-25,7days,BA,Y,47330,57330
548,Chanel,boy caviar quilted cluth black,a1145545,2021-02-05,2021-02-08,7days,BA,Y,47330,57330
549,Chanel,boy caviar quilted cluth black,a1146368,2021-02-14,2021-03-09,7days,BA,Y,47330,57330
550,Saint Laurent,cassandre monogram clutch black,a1111449,2020-08-13,2021-02-25,4days,BA,N,45670,55670
551,Saint Laurent,cassandre monogram clutch black,a1150780,2021-03-25,2021-03-25,4days,BA,N,45670,55670
552,Gucci,GG marmont belt bag black,a1147477,2021-02-25,2021-02-25,4days,BA,Y,46300,56300
553,Gucci,GG marmont belt bag black,a1150346,2021-03-22,2021-03-22,4days,BA,Y,46300,56300
554,Gucci,GG marmont belt bag black,a1148717,2021-03-09,2021-03-12,4days,BA,Y,46300,56300
555,Rimowa,topaz 53,a1147373,2021-02-24,2021-02-25,7days,BA,Y,39000,49000
556,Yves Saint Laurent,kate small monogram bag black,a1147203,2021-02-22,2021-02-24,4days,BA,Y,46500,56500
557,Yves Saint Laurent,kate small monogram bag black,a1145296,2021-02-03,2021-02-03,7days,BA,Y,46500,56500
558,Yves Saint Laurent,kate small monogram bag black,a1147974,2021-03-02,2021-03-12,4days,BA,Y,46500,56500
559,Saint Laurent,monogram cross body bag black,a1147306,2021-02-23,2021-02-24,4days,BA,Y,45670,55670
560,Saint Laurent,monogram cross body bag black,a1150884,2021-03-26,2021-03-26,7days,BA,Y,45670,55670
561,Saint Laurent,monogram cross body bag black,a1150300,2021-03-22,2021-03-24,4days,BA,Y,45670,55670
562,Saint Laurent,monogram cross body bag black,a1136565,2020-12-11,2021-03-13,4days,BA,Y,45670,55670
563,Saint Laurent,monogram cross body bag black,a1148921,2021-03-11,2021-03-11,7days,BA,Y,45670,55670
564,Chanel,classic clutch black,a157063,2019-11-19,2021-02-24,4days,BA,Y,47330,57330
565,Chanel,classic clutch black,a1147280,2021-02-23,2021-02-23,4days,BA,Y,47330,57330
566,Chanel,classic clutch black,a145138,2019-10-04,2021-02-13,7days,BA,Y,47330,57330
567,Chanel,classic clutch black,a1145073,2021-02-01,2021-02-04,4days,BA,Y,47330,57330
568,Chanel,classic clutch black,a1145436,2021-02-04,2021-02-04,7days,BA,Y,47330,57330
569,Chanel,classic clutch black,a1151106,2021-03-28,2021-03-31,4days,BA,Y,47330,57330
570,Chanel,classic clutch black,a1146521,2021-02-15,2021-03-25,7days,BA,N,47330,57330
571,Chanel,classic clutch black,a1105909,2020-06-24,2021-03-24,4days,BA,Y,47330,57330
572,Chanel,classic clutch black,a1149788,2021-03-17,2021-03-17,4days,BA,Y,47330,57330
573,Chanel,classic clutch black,a1148370,2021-03-06,2021-03-09,7days,BA,Y,47330,57330
574,Chanel,classic clutch black,a192716,2020-04-02,2021-03-09,4days,BA,Y,47330,57330
575,Chanel,classic clutch black,a1148485,2021-03-07,2021-03-08,7days,BA,Y,47330,57330
576,Chanel,vintage mini cross body,a1147205,2021-02-22,2021-02-23,7days,BA,Y,47330,57330
577,Saint Laurent,chevron quilted cross bag beige,a1124332,2020-10-14,2021-02-23,4days,BA,Y,45670,55670
578,Saint Laurent,chevron quilted cross bag beige,a1145376,2021-02-03,2021-02-13,4days,BA,N,45670,55670
579,Saint Laurent,chevron quilted cross bag beige,a1149527,2021-03-15,2021-03-17,7days,BA,Y,45670,55670
580,Gucci,dionysus cross bag green,a1147181,2021-02-22,2021-02-22,4days,BA,Y,46300,56300
581,Gucci,dionysus cross bag green,a1150214,2021-03-21,2021-03-21,4days,BA,N,46300,56300
582,Gucci,dionysus cross bag green,a1102582,2020-05-31,2021-03-08,4days,BA,Y,46300,56300
583,Gucci,marmont gg logo quilted bag Black,a1147123,2021-02-21,2021-02-22,4days,BA,N,46300,56300
584,Gucci,marmont gg logo quilted bag Black,a1143565,2021-01-17,2021-02-04,4days,BA,Y,46300,56300
585,Gucci,marmont gg logo quilted bag Black,a1145191,2021-02-02,2021-02-02,4days,BA,Y,46300,56300
586,Gucci,marmont gg logo quilted bag Black,a1150157,2021-03-20,2021-03-23,7days,BA,Y,46300,56300
587,Saint Laurent,lou cross bag black,a1146923,2021-02-19,2021-02-19,7days,BA,Y,45670,55670
588,Saint Laurent,lou cross bag black,a1150737,2021-03-25,2021-03-26,7days,BA,Y,45670,55670
589,Saint Laurent,lou cross bag black,a152831,2019-10-31,2021-03-17,4days,BA,Y,45670,55670
590,Miu Miu,matelasse chain mini bag pink,a1146872,2021-02-18,2021-02-19,7days,BA,Y,39000,49000
591,Miu Miu,matelasse chain mini bag pink,a1150433,2021-03-23,2021-03-23,4days,BA,Y,39000,49000
592,Miu Miu,matelasse chain mini bag pink,a1148159,2021-03-03,2021-03-04,4days,BA,Y,39000,49000
593,Chanel,grand-shopping caviar cream,a1107269,2020-07-05,2021-02-19,7days,BA,Y,47330,57330
594,Chanel,grand-shopping caviar cream,a1145380,2021-02-03,2021-02-05,7days,BA,Y,47330,57330
595,Gucci,unique vintage web mini cross bag,a1146554,2021-02-16,2021-02-18,7days,BA,Y,46300,56300
596,Gucci,unique vintage web mini cross bag,a1150597,2021-03-24,2021-03-25,7days,BA,Y,46300,56300
597,Chanel,boy chanel clutch black,a1146817,2021-02-18,2021-02-18,4days,BA,Y,47330,57330
598,Chanel,boy chanel clutch black,a1146624,2021-02-16,2021-02-16,4days,BA,Y,47330,57330
599,Chanel,boy chanel clutch black,a1146377,2021-02-14,2021-02-15,7days,BA,Y,47330,57330
600,Chanel,boy chanel clutch black,a1145135,2021-02-01,2021-02-04,7days,BA,Y,47330,57330
601,Chanel,boy chanel clutch black,a1145406,2021-02-03,2021-02-04,7days,BA,Y,47330,57330
602,Chanel,boy chanel clutch black,a1151134,2021-03-28,2021-03-28,7days,BA,Y,47330,57330
603,Chanel,boy chanel clutch black,a1149382,2021-03-14,2021-03-16,7days,BA,Y,47330,57330
